Date,Strategy,Portfolio Value,Cash,Num Holdings,Holdings
2015-01-01,EU_BACKTEST,1500.117877412977,1500.117877412977,0,[]
2015-01-02,EU_BACKTEST,1497.1176416581513,1.989676006415349e-13,12,"[""BAYN.DE"", ""BTRW.L"", ""CON.DE"", ""EZJ.L"", ""FR.PA"", ""HAS.L"", ""KBC.BR"", ""MBG.DE"", ""MNDI.L"", ""ORA.PA"", ""SDR.L"", ""TW.L""]"
2015-01-05,EU_BACKTEST,1470.1882782757768,1.9898323649888813e-13,12,"[""BAYN.DE"", ""BTRW.L"", ""CON.DE"", ""EZJ.L"", ""FR.PA"", ""HAS.L"", ""KBC.BR"", ""MBG.DE"", ""MNDI.L"", ""ORA.PA"", ""SDR.L"", ""TW.L""]"
2015-01-06,EU_BACKTEST,1449.6050295608425,1.9899887358498432e-13,12,"[""BAYN.DE"", ""BTRW.L"", ""CON.DE"", ""EZJ.L"", ""FR.PA"", ""HAS.L"", ""KBC.BR"", ""MBG.DE"", ""MNDI.L"", ""ORA.PA"", ""SDR.L"", ""TW.L""]"
2015-01-07,EU_BACKTEST,1454.4772836022719,1.9901451189992e-13,12,"[""BAYN.DE"", ""BTRW.L"", ""CON.DE"", ""EZJ.L"", ""FR.PA"", ""HAS.L"", ""KBC.BR"", ""MBG.DE"", ""MNDI.L"", ""ORA.PA"", ""SDR.L"", ""TW.L""]"
2015-01-08,EU_BACKTEST,1497.6438992859382,1.9903015144379175e-13,12,"[""BAYN.DE"", ""BTRW.L"", ""CON.DE"", ""EZJ.L"", ""FR.PA"", ""HAS.L"", ""KBC.BR"", ""MBG.DE"", ""MNDI.L"", ""ORA.PA"", ""SDR.L"", ""TW.L""]"
2015-01-09,EU_BACKTEST,1474.909968756521,1.9904579221669617e-13,12,"[""BAYN.DE"", ""BTRW.L"", ""CON.DE"", ""EZJ.L"", ""FR.PA"", ""HAS.L"", ""KBC.BR"", ""MBG.DE"", ""MNDI.L"", ""ORA.PA"", ""SDR.L"", ""TW.L""]"
2015-01-12,EU_BACKTEST,1491.4026966671538,1.9906143421872982e-13,12,"[""BAYN.DE"", ""BTRW.L"", ""CON.DE"", ""EZJ.L"", ""FR.PA"", ""HAS.L"", ""KBC.BR"", ""MBG.DE"", ""MNDI.L"", ""ORA.PA"", ""SDR.L"", ""TW.L""]"
2015-01-13,EU_BACKTEST,1521.9653343740977,1.9907707744998927e-13,12,"[""BAYN.DE"", ""BTRW.L"", ""CON.DE"", ""EZJ.L"", ""FR.PA"", ""HAS.L"", ""KBC.BR"", ""MBG.DE"", ""MNDI.L"", ""ORA.PA"", ""SDR.L"", ""TW.L""]"
2015-01-14,EU_BACKTEST,1498.743376918863,1.9909272191057116e-13,12,"[""BAYN.DE"", ""BTRW.L"", ""CON.DE"", ""EZJ.L"", ""FR.PA"", ""HAS.L"", ""KBC.BR"", ""MBG.DE"", ""MNDI.L"", ""ORA.PA"", ""SDR.L"", ""TW.L""]"
2015-01-15,EU_BACKTEST,1532.0707218948307,1.9910836760057207e-13,12,"[""BAYN.DE"", ""BTRW.L"", ""CON.DE"", ""EZJ.L"", ""FR.PA"", ""HAS.L"", ""KBC.BR"", ""MBG.DE"", ""MNDI.L"", ""ORA.PA"", ""SDR.L"", ""TW.L""]"
2015-01-16,EU_BACKTEST,1538.7875441161145,0.0,12,"[""BAYN.DE"", ""BTRW.L"", ""CON.DE"", ""CS.PA"", ""FR.PA"", ""LEO.DE"", ""MBG.DE"", ""MNDI.L"", ""ORA.PA"", ""SDR.L"", ""STJ.L"", ""TW.L""]"
2015-01-19,EU_BACKTEST,1549.9274246187101,0.0,12,"[""BAYN.DE"", ""BTRW.L"", ""CON.DE"", ""CS.PA"", ""FR.PA"", ""LEO.DE"", ""MBG.DE"", ""MNDI.L"", ""ORA.PA"", ""SDR.L"", ""STJ.L"", ""TW.L""]"
2015-01-20,EU_BACKTEST,1561.5932305507313,0.0,12,"[""BAYN.DE"", ""BTRW.L"", ""CON.DE"", ""CS.PA"", ""FR.PA"", ""LEO.DE"", ""MBG.DE"", ""MNDI.L"", ""ORA.PA"", ""SDR.L"", ""STJ.L"", ""TW.L""]"
