Date,NAV,BENCH
2015-01-01,1500.117877412977,2058.9
2015-01-02,1498.619259771328,2058.2
2015-01-05,1450.094142208303,2020.58
2015-01-06,1422.2846195693437,2002.61
2015-01-07,1444.5762995135976,2025.9
2015-01-08,1472.8984305094057,2062.14
2015-01-09,1449.5647370631225,2044.81
2015-01-12,1433.5802536361605,2028.26
2015-01-13,1434.0278699655028,2023.03
2015-01-14,1407.7770772793592,2011.27
2015-01-15,1382.476910171915,1992.67
2015-01-16,1401.499727909806,2019.42
2015-01-19,1401.4997279176544,2019.42
2015-01-20,1403.0980985249712,2022.55
2015-01-21,1415.6058494066467,2032.12
2015-01-22,1442.448444441428,2063.15
2015-01-23,1436.4095136559283,2051.82
2015-01-26,1449.7648489089097,2057.09
2015-01-27,1430.528424170352,2029.55
2015-01-28,1403.2331581241592,2002.16
2015-01-29,1418.6509588051083,2021.25
2015-01-30,1414.0513378160415,1994.99
2015-02-02,1444.0362741768718,2020.85
2015-02-03,1485.8664557134323,2050.03
2015-02-04,1479.240355994449,2041.51
2015-02-05,1484.7882981514676,2062.52
2015-02-06,1503.9148151037823,2055.47
2015-02-09,1498.4213717213463,2046.74
2015-02-10,1508.6635797748825,2068.59
2015-02-11,1507.4388080204385,2068.53
2015-02-12,1527.2276667738531,2088.48
2015-02-13,1529.0203136063278,2096.99
2015-02-16,1529.0203136134778,2096.99
2015-02-17,1539.0980938096018,2100.34
2015-02-18,1530.9660590570693,2099.68
2015-02-19,1541.5951363896754,2097.45
2015-02-20,1554.7707566912495,2110.3
2015-02-23,1546.506624966236,2109.66
2015-02-24,1554.3631557405902,2115.48
2015-02-25,1552.4246380230106,2113.86
2015-02-26,1542.588946476737,2110.74
2015-02-27,1525.0010360107174,2104.5
2015-03-02,1545.2168187108623,2117.39
2015-03-03,1540.8955105606203,2107.78
2015-03-04,1528.9527081966205,2098.53
2015-03-05,1542.893752305638,2101.04
2015-03-06,1536.1989386069383,2071.26
2015-03-09,1539.6326940470892,2079.43
2015-03-10,1503.0477537748188,2044.16
2015-03-11,1510.1700305967363,2040.24
2015-03-12,1532.7237757005198,2065.95
2015-03-13,1528.320400662849,2053.4
2015-03-16,1555.0392717842012,2081.19
2015-03-17,1553.7930800299134,2074.28
2015-03-18,1561.7524975351696,2099.5
2015-03-19,1556.0668937761636,2089.27
2015-03-20,1573.3471191371389,2108.1
2015-03-23,1560.9337292420284,2104.42
2015-03-24,1548.7585004872108,2091.5
2015-03-25,1512.5247542053992,2061.05
2015-03-26,1517.9248946572336,2056.15
2015-03-27,1524.9470987640864,2061.02
2015-03-30,1540.8434106820466,2086.24
2015-03-31,1531.6589311746895,2067.89
2015-04-01,1519.1249657904884,2059.69
2015-04-02,1518.8274848305002,2066.96
2015-04-03,1518.827484846939,2066.96
2015-04-06,1523.4191906581823,2080.62
2015-04-07,1516.7918083541954,2076.33
2015-04-08,1528.8146138300324,2081.9
2015-04-09,1537.5219650695135,2091.18
2015-04-10,1536.6541982057536,2102.06
2015-04-13,1536.2732878308914,2092.43
2015-04-14,1536.0846882354842,2095.84
2015-04-15,1551.3183720226575,2106.63
2015-04-16,1553.585336780144,2104.99
2015-04-17,1527.9179705410024,2081.18
2015-04-20,1541.0743730046725,2100.4
2015-04-21,1536.713350322102,2097.29
2015-04-22,1542.7759028014284,2107.96
2015-04-23,1547.5451091725297,2112.93
2015-04-24,1533.542027198384,2117.69
2015-04-27,1517.6423472823935,2108.92
2015-04-28,1527.042206659367,2114.76
2015-04-29,1545.4865911973227,2106.85
2015-04-30,1527.9690144427243,2085.51
2015-05-01,1545.650102504218,2108.29
2015-05-04,1546.7017281411213,2114.49
2015-05-05,1538.371635760847,2089.46
2015-05-06,1531.9617658339432,2080.15
2015-05-07,1536.954860112431,2088.0
2015-05-08,1552.099514963537,2116.1
2015-05-11,1556.0967335577843,2105.33
2015-05-12,1547.3607016774588,2099.12
2015-05-13,1551.207698452015,2098.48
2015-05-14,1569.3583369851383,2121.1
2015-05-15,1559.5226167118294,2122.73
2015-05-18,1570.9632581426922,2129.2
2015-05-19,1565.3976474726771,2127.83
2015-05-20,1558.9075273140827,2125.85
2015-05-21,1561.2699152327234,2130.82
2015-05-22,1561.6935630128885,2126.06
2015-05-25,1561.6935630702303,2126.06
2015-05-26,1547.4484212631244,2104.2
2015-05-27,1576.7586610107342,2123.48
2015-05-28,1563.6074086781905,2120.79
2015-05-29,1553.8321737889908,2107.39
2015-06-01,1561.2343730333116,2111.73
2015-06-02,1561.4256489592185,2109.6
2015-06-03,1565.788798137089,2114.07
2015-06-04,1549.0457948366195,2095.84
2015-06-05,1562.9429378734098,2092.83
2015-06-08,1544.2612452614248,2079.28
2015-06-09,1536.5999852132652,2080.15
2015-06-10,1558.7993211671546,2105.2
2015-06-11,1556.7378706207198,2108.86
2015-06-12,1551.7776718053726,2094.11
2015-06-15,1548.7035925826551,2084.43
2015-06-16,1554.7501791089771,2096.29
2015-06-17,1559.3986887543936,2100.44
2015-06-18,1585.5291738067938,2121.24
2015-06-19,1581.5459641258335,2109.99
2015-06-22,1602.959454443122,2122.85
2015-06-23,1600.6155648046067,2124.2
2015-06-24,1584.7136999155273,2108.58
2015-06-25,1580.5324875497977,2102.31
2015-06-26,1571.8223178162057,2101.49
2015-06-29,1518.929396108442,2057.64
2015-06-30,1534.0132469597072,2063.11
