Date,NAV,BENCH
2015-01-01,1500.117877412977,2058.9
2015-01-02,1494.728817329892,2058.2
2015-01-05,1460.799355071092,2020.58
2015-01-06,1434.096632217831,2002.61
2015-01-07,1457.4640473450024,2025.9
2015-01-08,1479.9258141146315,2062.14
2015-01-09,1455.8789913551832,2044.81
2015-01-12,1444.1894451490014,2028.26
2015-01-13,1451.885146058772,2023.03
2015-01-14,1425.2071302580448,2011.27
2015-01-15,1401.3019225253902,1992.67
2015-01-16,1421.0986651391547,2019.42
2015-01-19,1421.1101803731465,2019.42
2015-01-20,1435.1590638353027,2022.55
2015-01-21,1435.1067656327405,2032.12
2015-01-22,1464.034960729534,2063.15
2015-01-23,1465.945319003803,2051.82
2015-01-26,1469.1017129203128,2057.09
2015-01-27,1449.6349724919276,2029.55
2015-01-28,1419.3207118511543,2002.16
2015-01-29,1438.2821761316827,2021.25
2015-01-30,1431.7613136341574,1994.99
2015-02-02,1453.5255514377047,2020.85
2015-02-03,1478.7628296326263,2050.03
2015-02-04,1473.657332977012,2041.51
2015-02-05,1486.365214947479,2062.52
2015-02-06,1505.018240131936,2055.47
2015-02-09,1497.9124181672487,2046.74
2015-02-10,1509.3646473873628,2068.59
2015-02-11,1511.2180980874386,2068.53
2015-02-12,1530.5035177153102,2088.48
2015-02-13,1526.8556855802783,2096.99
2015-02-16,1526.8674064291952,2096.99
2015-02-17,1534.6745852864738,2100.34
2015-02-18,1519.7815747631084,2099.68
2015-02-19,1525.1662346931714,2097.45
2015-02-20,1539.8220475599169,2110.3
2015-02-23,1529.3334793218469,2109.66
2015-02-24,1539.13410572643,2115.48
2015-02-25,1538.276119755728,2113.86
2015-02-26,1534.3280143198815,2110.74
2015-02-27,1523.383648250776,2104.5
2015-03-02,1544.7344193488432,2117.39
2015-03-03,1536.146678247098,2107.78
2015-03-04,1526.628777870715,2098.53
2015-03-05,1538.774996255382,2101.04
2015-03-06,1538.254289521796,2071.26
2015-03-09,1541.869977539553,2079.43
2015-03-10,1506.5265466515882,2044.16
2015-03-11,1514.1431844547492,2040.24
2015-03-12,1538.3166208904684,2065.95
2015-03-13,1530.0995095854216,2053.4
2015-03-16,1553.8309087265789,2081.19
2015-03-17,1551.034612212507,2074.28
2015-03-18,1552.932413953379,2099.5
2015-03-19,1534.1420671494982,2089.27
2015-03-20,1558.0008950513748,2108.1
2015-03-23,1552.5346303404594,2104.42
2015-03-24,1539.1206018032171,2091.5
2015-03-25,1517.403034326304,2061.05
2015-03-26,1528.8538566792736,2056.15
2015-03-27,1528.0824765663976,2061.02
2015-03-30,1544.6406179397686,2086.24
2015-03-31,1542.6285430715398,2067.89
2015-04-01,1537.0760497000765,2059.69
2015-04-02,1541.2382714444354,2066.96
2015-04-03,1541.2502799935137,2066.96
2015-04-06,1533.1273598857442,2080.62
2015-04-07,1523.6559815611993,2076.33
2015-04-08,1534.574928154061,2081.9
2015-04-09,1540.9653002322186,2091.18
2015-04-10,1539.1542599973925,2102.06
2015-04-13,1544.698387580572,2092.43
2015-04-14,1542.2460855192728,2095.84
2015-04-15,1551.5799425378243,2106.63
2015-04-16,1550.019679848018,2104.99
2015-04-17,1530.086579272615,2081.18
2015-04-20,1541.5690559984837,2100.4
2015-04-21,1540.5992142378875,2097.29
2015-04-22,1546.6546345670777,2107.96
2015-04-23,1545.423675660421,2112.93
2015-04-24,1539.343634287798,2117.69
2015-04-27,1524.9678964541083,2108.92
2015-04-28,1537.812936049837,2114.76
2015-04-29,1543.707636716004,2106.85
2015-04-30,1524.8683925902917,2085.51
2015-05-01,1544.5603338683386,2108.29
2015-05-04,1550.764815561875,2114.49
2015-05-05,1541.1570595254602,2089.46
2015-05-06,1534.5719420035673,2080.15
2015-05-07,1542.3816647243111,2088.0
2015-05-08,1558.433749872415,2116.1
2015-05-11,1569.8472126411411,2105.33
2015-05-12,1561.2755372858962,2099.12
2015-05-13,1568.4035405877262,2098.48
2015-05-14,1582.0448970476484,2121.1
2015-05-15,1572.08925118331,2122.73
2015-05-18,1582.71882441738,2129.2
2015-05-19,1578.0563011982458,2127.83
2015-05-20,1585.9112895996216,2125.85
2015-05-21,1585.9666957926072,2130.82
2015-05-22,1580.2525956978498,2126.06
2015-05-25,1580.2649217879507,2126.06
2015-05-26,1569.3399959329756,2104.2
2015-05-27,1582.1579510669128,2123.48
2015-05-28,1562.5130365623336,2120.79
2015-05-29,1539.6311330474064,2107.39
2015-06-01,1542.300887398271,2111.73
2015-06-02,1552.3455942194043,2109.6
2015-06-03,1562.467793566464,2114.07
2015-06-04,1545.532526016697,2095.84
2015-06-05,1556.7090740585295,2092.83
2015-06-08,1540.923189849554,2079.28
2015-06-09,1537.3024964641024,2080.15
2015-06-10,1558.6246590788062,2105.2
2015-06-11,1559.3677723518435,2108.86
2015-06-12,1556.9036099994444,2094.11
2015-06-15,1549.718466940658,2084.43
2015-06-16,1550.9945626210888,2096.29
2015-06-17,1554.6784844012557,2100.44
2015-06-18,1572.8607916869057,2121.24
2015-06-19,1563.5959855042706,2109.99
2015-06-22,1579.7916124267156,2122.85
2015-06-23,1582.5170098272893,2124.2
2015-06-24,1570.4801948493318,2108.58
2015-06-25,1563.50051611225,2102.31
2015-06-26,1563.4010134859443,2101.49
2015-06-29,1516.3774397697211,2057.64
2015-06-30,1524.0396159621127,2063.11
2015-07-01,1521.0388179108656,2077.42
2015-07-02,1515.6717820226309,2076.78
2015-07-03,1515.6832801162006,2076.78
2015-07-06,1502.0335424318928,2068.76
2015-07-07,1504.7010962590437,2081.34
2015-07-08,1468.3509105589392,2046.68
2015-07-09,1482.455771033926,2051.31
2015-07-10,1496.2312533959594,2076.62
2015-07-13,1511.1586458098543,2099.6
2015-07-14,1518.79738195267,2108.95
2015-07-15,1511.6147263840485,2107.4
2015-07-16,1529.6520446198003,2124.29
2015-07-17,1528.0297804917298,2126.64
2015-07-20,1526.150733738937,2128.28
2015-07-21,1526.9983743830394,2119.21
2015-07-22,1511.3242129451933,2114.15
2015-07-23,1490.7166204021692,2102.15
2015-07-24,1427.739865256983,2079.65
2015-07-27,1411.0178407528856,2067.64
2015-07-28,1444.3785517816796,2093.25
2015-07-29,1443.6928067803544,2108.57
2015-07-30,1444.8900059338007,2108.63
2015-07-31,1440.8515288851072,2103.84
2015-08-03,1437.288176262451,2098.04
2015-08-04,1448.8335330006755,2093.32
2015-08-05,1458.3683414226182,2099.84
2015-08-06,1435.9057148790998,2083.56
2015-08-07,1429.5338455955346,2077.57
2015-08-10,1454.5329686013297,2104.18
2015-08-11,1427.6486122477013,2084.07
2015-08-12,1428.9995279607904,2086.05
2015-08-13,1425.53567669595,2083.39
2015-08-14,1426.977288943452,2091.54
2015-08-17,1441.0720865328333,2102.44
2015-08-18,1416.900537938715,2096.92
2015-08-19,1403.516052366402,2079.61
2015-08-20,1356.4808757295425,2035.73
2015-08-21,1308.3374266713618,1970.89
2015-08-24,1269.2725836913455,1893.21
2015-08-25,1254.0664291670405,1867.61
