Date,NAV,BENCH
2015-01-05,1500.0,2020.58
2015-01-06,1473.9328,2002.61
2015-01-07,1491.2918,2025.9
2015-01-08,1529.8977,2062.14
2015-01-09,1510.2861,2044.81
2015-01-12,1504.6217,2028.26
2015-01-13,1517.4438,2023.03
2015-01-14,1499.8427,2011.27
2015-01-15,1503.7448,1992.67
2015-01-16,1531.4753,2019.42
2015-01-19,1536.543,2019.42
2015-01-20,1556.2518,2022.55
2015-01-21,1564.1614,2032.12
2015-01-22,1623.7638,2063.15
2015-01-23,1652.2645,2051.82
2015-01-26,1666.2604,2057.09
2015-01-27,1632.8351,2029.55
2015-01-28,1649.743,2002.16
2015-01-29,1666.3676,2021.25
2015-01-30,1644.1682,1994.99
2015-02-02,1635.9003,2020.85
2015-02-03,1640.8103,2050.03
2015-02-04,1664.6757,2041.51
2015-02-05,1657.8691,2062.52
2015-02-06,1661.1092,2055.47
2015-02-09,1636.9968,2046.74
2015-02-10,1682.9318,2068.59
2015-02-11,1686.1028,2068.53
2015-02-12,1705.4645,2088.48
2015-02-13,1707.0287,2096.99
2015-02-16,1710.2006,2096.99
2015-02-17,1708.4667,2100.34
2015-02-18,1719.439,2099.68
2015-02-19,1736.8913,2097.45
2015-02-20,1743.5212,2110.3
2015-02-23,1759.4011,2109.66
2015-02-24,1758.9974,2115.48
2015-02-25,1751.9675,2113.86
2015-02-26,1798.9168,2110.74
2015-02-27,1797.6876,2104.5
2015-03-02,1811.7476,2117.39
2015-03-03,1782.2302,2107.78
2015-03-04,1800.133,2098.53
2015-03-05,1811.9729,2101.04
2015-03-06,1806.2777,2071.26
2015-03-09,1804.7812,2079.43
2015-03-10,1801.7077,2044.16
2015-03-11,1841.6497,2040.24
2015-03-12,1850.0105,2065.95
2015-03-13,1863.6873,2053.4
2015-03-16,1882.9038,2081.19
2015-03-17,1856.6138,2074.28
2015-03-18,1839.6325,2099.5
2015-03-19,1869.7907,2089.27
2015-03-20,1864.5443,2108.1
2015-03-23,1840.5066,2104.42
2015-03-24,1839.9343,2091.5
2015-03-25,1794.8863,2061.05
2015-03-26,1791.2299,2056.15
2015-03-27,1799.213,2061.02
2015-03-30,1824.752,2086.24
2015-03-31,1823.045,2067.89
2015-04-01,1816.7508,2059.69
2015-04-02,1804.4098,2066.96
2015-04-06,1795.8107,2080.62
2015-04-07,1805.7472,2076.33
2015-04-08,1824.3712,2081.9
2015-04-09,1851.705,2091.18
2015-04-10,1861.6031,2102.06
