Date,NAV,BENCH
2015-01-01,1500.117877412977,2058.9
2015-01-02,1494.1413182587714,2058.2
2015-01-05,1461.4310557718802,2020.58
2015-01-06,1440.265202159066,2002.61
2015-01-07,1458.751522516936,2025.9
2015-01-08,1487.264429122759,2062.14
2015-01-09,1479.8633520577985,2044.81
2015-01-12,1466.9724807296177,2028.26
2015-01-13,1464.2311389399424,2023.03
2015-01-14,1449.3146659833865,2011.27
2015-01-15,1437.182295825816,1992.67
2015-01-16,1451.0408671908085,2019.42
2015-01-19,1451.040867224625,2019.42
2015-01-20,1459.4409597613528,2022.55
2015-01-21,1470.8872880819035,2032.12
2015-01-22,1502.701391287604,2063.15
2015-01-23,1486.713296360771,2051.82
2015-01-26,1495.9778417845523,2057.09
2015-01-27,1482.843534974237,2029.55
2015-01-28,1459.500821519844,2002.16
2015-01-29,1478.0972432725528,2021.25
2015-01-30,1456.3164328370776,1994.99
2015-02-02,1470.9650995853724,2020.85
2015-02-03,1495.2253744186792,2050.03
2015-02-04,1488.2022870016126,2041.51
2015-02-05,1504.157841205482,2062.52
2015-02-06,1496.0736378466684,2055.47
2015-02-09,1489.3503384316375,2046.74
2015-02-10,1510.0025443905945,2068.59
2015-02-11,1510.831851325415,2068.53
2015-02-12,1533.5129599628815,2088.48
2015-02-13,1545.3693510708497,2096.99
2015-02-16,1545.3693510813189,2096.99
2015-02-17,1543.053520314338,2100.34
2015-02-18,1541.6090713539568,2099.68
2015-02-19,1539.0142563472664,2097.45
2015-02-20,1551.5867743468243,2110.3
2015-02-23,1546.4294459432613,2109.66
2015-02-24,1548.7004820055197,2115.48
2015-02-25,1548.500739624494,2113.86
2015-02-26,1542.0715552536187,2110.74
2015-02-27,1534.6255368686996,2104.5
2015-03-02,1546.6680817376998,2117.39
2015-03-03,1535.8721710684674,2107.78
2015-03-04,1529.636228588163,2098.53
2015-03-05,1536.324445498516,2101.04
2015-03-06,1513.5133290784238,2071.26
2015-03-09,1519.1538947817023,2079.43
2015-03-10,1488.3449302143636,2044.16
2015-03-11,1484.252614599956,2040.24
2015-03-12,1513.4675986233965,2065.95
2015-03-13,1500.921586455545,2053.4
2015-03-16,1530.4173935339409,2081.19
2015-03-17,1521.7823349201788,2074.28
2015-03-18,1540.292050514777,2099.5
2015-03-19,1529.0306750600364,2089.27
2015-03-20,1544.1248821673942,2108.1
2015-03-23,1535.0603956281311,2104.42
2015-03-24,1527.022926452256,2091.5
2015-03-25,1502.748854465202,2061.05
2015-03-26,1498.5660025019083,2056.15
2015-03-27,1507.3608932819943,2061.02
2015-03-30,1527.092640077291,2086.24
2015-03-31,1516.6057138970962,2067.89
2015-04-01,1507.9631860542008,2059.69
2015-04-02,1510.30477778992,2066.96
2015-04-03,1510.3047778024568,2066.96
2015-04-06,1510.5111744189153,2080.62
2015-04-07,1503.46706234108,2076.33
2015-04-08,1509.8613094946454,2081.9
2015-04-09,1512.4134336344523,2091.18
2015-04-10,1515.7497647095042,2102.06
2015-04-13,1512.80119690598,2092.43
2015-04-14,1510.9331248849094,2095.84
2015-04-15,1511.1324280904294,2106.63
2015-04-16,1506.6279255895083,2104.99
2015-04-17,1491.3287192096968,2081.18
2015-04-20,1507.8339228592372,2100.4
2015-04-21,1507.652287587295,2097.29
2015-04-22,1517.9065009276324,2107.96
2015-04-23,1500.5537066424097,2112.93
2015-04-24,1500.2924673019568,2117.69
2015-04-27,1490.2190367275418,2108.92
2015-04-28,1491.759692376328,2114.76
2015-04-29,1489.691626289269,2106.85
2015-04-30,1476.9801456537634,2085.51
2015-05-01,1488.9630913567569,2108.29
2015-05-04,1491.7935317226836,2114.49
2015-05-05,1479.8761313127286,2089.46
2015-05-06,1467.9357419194946,2080.15
2015-05-07,1476.8569106250854,2088.0
2015-05-08,1495.894121018322,2116.1
2015-05-11,1494.451537002878,2105.33
2015-05-12,1480.8914292828763,2099.12
2015-05-13,1484.4700856616505,2098.48
2015-05-14,1500.9185708678283,2121.1
2015-05-15,1499.9318133503364,2122.73
2015-05-18,1506.1170300191077,2129.2
2015-05-19,1511.5949541117168,2127.83
2015-05-20,1505.279052005537,2125.85
2015-05-21,1503.4656394884726,2130.82
2015-05-22,1499.7140288376495,2126.06
2015-05-25,1499.7140288595667,2126.06
2015-05-26,1483.1129094500045,2104.2
2015-05-27,1498.0984787724522,2123.48
2015-05-28,1494.7680743451913,2120.79
2015-05-29,1479.7530352249632,2107.39
